Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-cdvn,reaction time,stimulus,button pressed
2,1599014996341,02/09/2020 02:49:56,1599014990625,3,02/09/2020 05:49:50,24005,8,task-qgn4,,6676549,BLIND,1912536,,complete,,5f4f07c59d9cdf161693b176,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,5173.689999966882,/task/40825/1/asset/Dog.mp3,1
3,1599014998704,02/09/2020 02:49:58,1599014992984,3,02/09/2020 05:49:52,24005,8,task-qgn4,,6676549,BLIND,1912536,,complete,,5f4f07c59d9cdf161693b176,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,2357.880000025034,/task/40825/1/asset/Owl.mp3,0
4,1599015000708,02/09/2020 02:50:00,1599014994994,3,02/09/2020 05:49:54,24005,8,task-qgn4,,6676549,BLIND,1912536,,complete,,5f4f07c59d9cdf161693b176,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,2007.8349999384955,/task/40825/1/asset/Goat.mp3,0
1,1599014993222,02/09/2020 02:49:53,1599014992148,2,02/09/2020 04:49:52,24005,8,task-qgn4,,6676551,BLIND,1912534,,complete,,5f4f073d725cf115535b770d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,13750.949999986915,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599014997219,02/09/2020 02:49:57,1599014996233,2,02/09/2020 04:49:56,24005,8,task-qgn4,,6676551,BLIND,1912534,,complete,,5f4f073d725cf115535b770d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,4073.340000002645,/task/40825/1/asset/Dog.mp3,1
3,1599015001068,02/09/2020 02:50:01,1599015000048,2,02/09/2020 04:50:00,24005,8,task-qgn4,,6676551,BLIND,1912534,,complete,,5f4f073d725cf115535b770d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,3812.1049999899697,/task/40825/1/asset/Owl.mp3,0
4,1599015003432,02/09/2020 02:50:03,1599015002444,2,02/09/2020 04:50:02,24005,8,task-qgn4,,6676551,BLIND,1912534,,complete,,5f4f073d725cf115535b770d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1280x720,1280x610,,HeadphonesCheck,1,Bad Mood,2393.2649999915157,/task/40825/1/asset/Goat.mp3,0
1,1599015265414,02/09/2020 02:54:25,1599015265859,-5,01/09/2020 21:54:25,24005,8,task-qgn4,,6676571,BLIND,1912543,,complete,,5f4f08d8aa48e01619b0690d,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 84.0.4147.135,1920x1080,1156x977,,HeadphonesCheck,1,Bad Mood,27470.925000001444,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015268354,02/09/2020 02:54:28,1599015268869,-5,01/09/2020 21:54:28,24005,8,task-qgn4,,6676571,BLIND,1912543,,complete,,5f4f08d8aa48e01619b0690d,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 84.0.4147.135,1920x1080,1156x977,,HeadphonesCheck,1,Bad Mood,2992.8949999994074,/task/40825/1/asset/Dog.mp3,1
3,1599015271271,02/09/2020 02:54:31,1599015271773,-5,01/09/2020 21:54:31,24005,8,task-qgn4,,6676571,BLIND,1912543,,complete,,5f4f08d8aa48e01619b0690d,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 84.0.4147.135,1920x1080,1156x977,,HeadphonesCheck,1,Bad Mood,2899.919999999838,/task/40825/1/asset/Owl.mp3,0
4,1599015272950,02/09/2020 02:54:32,1599015273404,-5,01/09/2020 21:54:33,24005,8,task-qgn4,,6676571,BLIND,1912543,,complete,,5f4f08d8aa48e01619b0690d,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 84.0.4147.135,1920x1080,1156x977,,HeadphonesCheck,1,Bad Mood,1627.9499999982363,/task/40825/1/asset/Goat.mp3,0
1,1599015369451,02/09/2020 02:56:09,1599015368991,2,02/09/2020 04:56:08,24005,8,task-qgn4,,6676579,BLIND,1912540,,complete,,5f4f089a771c00165a44a22b,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,2048x1152,1638x834,,HeadphonesCheck,1,Bad Mood,13290.569999997388,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015373131,02/09/2020 02:56:13,1599015372723,2,02/09/2020 04:56:12,24005,8,task-qgn4,,6676579,BLIND,1912540,,complete,,5f4f089a771c00165a44a22b,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,2048x1152,1638x834,,HeadphonesCheck,1,Bad Mood,3723.275000003923,/task/40825/1/asset/Dog.mp3,1
3,1599015377120,02/09/2020 02:56:17,1599015376685,2,02/09/2020 04:56:16,24005,8,task-qgn4,,6676579,BLIND,1912540,,complete,,5f4f089a771c00165a44a22b,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,2048x1152,1638x834,,HeadphonesCheck,1,Bad Mood,3960.740000002261,/task/40825/1/asset/Owl.mp3,0
4,1599015378573,02/09/2020 02:56:18,1599015378156,2,02/09/2020 04:56:18,24005,8,task-qgn4,,6676579,BLIND,1912540,,complete,,5f4f089a771c00165a44a22b,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,2048x1152,1638x834,,HeadphonesCheck,1,Bad Mood,1469.149999997171,/task/40825/1/asset/Goat.mp3,0
1,1599015348618,02/09/2020 02:55:48,1599015348511,1,02/09/2020 03:55:48,24005,8,task-qgn4,,6676583,BLIND,1912545,,complete,,5f4f092bad806516570c23db,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.135,1440x900,1440x746,,HeadphonesCheck,1,Good Mood,8520.18500000122,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015353544,02/09/2020 02:55:53,1599015353493,1,02/09/2020 03:55:53,24005,8,task-qgn4,,6676583,BLIND,1912545,,complete,,5f4f092bad806516570c23db,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.135,1440x900,1440x746,,HeadphonesCheck,1,Good Mood,4966.914999997243,/task/40825/1/asset/Dog.mp3,1
3,1599015357661,02/09/2020 02:55:57,1599015357591,1,02/09/2020 03:55:57,24005,8,task-qgn4,,6676583,BLIND,1912545,,complete,,5f4f092bad806516570c23db,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.135,1440x900,1440x746,,HeadphonesCheck,1,Good Mood,4094.230000016978,/task/40825/1/asset/Owl.mp3,0
4,1599015359304,02/09/2020 02:55:59,1599015359261,1,02/09/2020 03:55:59,24005,8,task-qgn4,,6676583,BLIND,1912545,,complete,,5f4f092bad806516570c23db,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 84.0.4147.135,1440x900,1440x746,,HeadphonesCheck,1,Good Mood,1666.9649999821559,/task/40825/1/asset/Goat.mp3,0
1,1599015368841,02/09/2020 02:56:08,1599015367389,2,02/09/2020 04:56:07,24005,8,task-qgn4,,6676589,BLIND,1912546,,complete,,5f4f092ec25d1a16067317fb,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Good Mood,3340.230000001611,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015372912,02/09/2020 02:56:12,1599015371537,2,02/09/2020 04:56:11,24005,8,task-qgn4,,6676589,BLIND,1912546,,complete,,5f4f092ec25d1a16067317fb,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Good Mood,4111.049999999523,/task/40825/1/asset/Dog.mp3,1
3,1599015374761,02/09/2020 02:56:14,1599015373393,2,02/09/2020 04:56:13,24005,8,task-qgn4,,6676589,BLIND,1912546,,complete,,5f4f092ec25d1a16067317fb,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Good Mood,1852.6200000051176,/task/40825/1/asset/Owl.mp3,0
4,1599015376386,02/09/2020 02:56:16,1599015375025,2,02/09/2020 04:56:15,24005,8,task-qgn4,,6676589,BLIND,1912546,,complete,,5f4f092ec25d1a16067317fb,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.83,1920x1080,1920x937,,HeadphonesCheck,1,Good Mood,1626.9000000029337,/task/40825/1/asset/Goat.mp3,0
1,1599015481942,02/09/2020 02:58:01,1599015482052,-4,01/09/2020 22:58:02,24005,8,task-qgn4,,6676607,BLIND,1912549,,complete,,5f4f0996ebf2131589f6e298,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,18075.425000002724,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1599015486988,02/09/2020 02:58:06,1599015487015,-4,01/09/2020 22:58:07,24005,8,task-qgn4,,6676607,BLIND,1912549,,complete,,5f4f0996ebf2131589f6e298,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,4934.1350000031525,/task/40825/1/asset/Dog.mp3,1
3,1599015490542,02/09/2020 02:58:10,1599015490694,-4,01/09/2020 22:58:10,24005,8,task-qgn4,,6676607,BLIND,1912549,,complete,,5f4f0996ebf2131589f6e298,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,3676.900000002206,/task/40825/1/asset/Owl.mp3,0
4,1599015492564,02/09/2020 02:58:12,1599015492734,-4,01/09/2020 22:58:12,24005,8,task-qgn4,,6676607,BLIND,1912549,,complete,,5f4f0996ebf2131589f6e298,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.135,1920x1080,1920x937,,HeadphonesCheck,1,Bad Mood,2037.240000001475,/task/40825/1/asset/Goat.mp3,0
1,1599015472978,02/09/2020 02:57:52,1599015472494,-7,01/09/2020 19:57:52,24005,8,task-qgn4,,6676609,BLIND,1912551,,complete,,5f4f0952ab673d15ddd6af16,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1440x960,1440x827,,HeadphonesCheck,1,Good Mood,1796.1099999956787,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
