Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,stimulus,button pressed
1,1601656455966,02/10/2020 16:34:15,1601656455825,1,02/10/2020 17:34:15,27270,5,task-qgn4,,7052801,5b20590b68a5ed000173d733,2041574,,complete,,5f7756278ef339265fb0da25,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.116,1440x900,1365x734,,HeadphonesCheck,1,4433.184999972582,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601656460235,02/10/2020 16:34:20,1601656460196,1,02/10/2020 17:34:20,27270,5,task-qgn4,,7052801,5b20590b68a5ed000173d733,2041574,,complete,,5f7756278ef339265fb0da25,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.116,1440x900,1365x734,,HeadphonesCheck,1,4358.90999995172,/task/40825/1/asset/Dog.mp3,1
3,1601656461959,02/10/2020 16:34:21,1601656461925,1,02/10/2020 17:34:21,27270,5,task-qgn4,,7052801,5b20590b68a5ed000173d733,2041574,,complete,,5f7756278ef339265fb0da25,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.116,1440x900,1365x734,,HeadphonesCheck,1,1725.855000084266,/task/40825/1/asset/Owl.mp3,0
4,1601656463186,02/10/2020 16:34:23,1601656463157,1,02/10/2020 17:34:23,27270,5,task-qgn4,,7052801,5b20590b68a5ed000173d733,2041574,,complete,,5f7756278ef339265fb0da25,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.116,1440x900,1365x734,,HeadphonesCheck,1,1229.2750000488013,/task/40825/1/asset/Goat.mp3,0
1,1601656619511,02/10/2020 16:36:59,1601656619398,1,02/10/2020 17:36:59,27270,5,task-qgn4,,7052845,5e2c66c15e01ef2917156267,2041586,,complete,,5f7756a30507fa266eee107a,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 85.0.4183.121,1280x800,1279x660,,HeadphonesCheck,1,3080.7349999959115,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601656621946,02/10/2020 16:37:01,1601656621880,1,02/10/2020 17:37:01,27270,5,task-qgn4,,7052845,5e2c66c15e01ef2917156267,2041586,,complete,,5f7756a30507fa266eee107a,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 85.0.4183.121,1280x800,1279x660,,HeadphonesCheck,1,2468.699999997625,/task/40825/1/asset/Dog.mp3,1
3,1601656623323,02/10/2020 16:37:03,1601656623274,1,02/10/2020 17:37:03,27270,5,task-qgn4,,7052845,5e2c66c15e01ef2917156267,2041586,,complete,,5f7756a30507fa266eee107a,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 85.0.4183.121,1280x800,1279x660,,HeadphonesCheck,1,1391.6449999960605,/task/40825/1/asset/Owl.mp3,0
4,1601656624730,02/10/2020 16:37:04,1601656624663,1,02/10/2020 17:37:04,27270,5,task-qgn4,,7052845,5e2c66c15e01ef2917156267,2041586,,complete,,5f7756a30507fa266eee107a,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 85.0.4183.121,1280x800,1279x660,,HeadphonesCheck,1,1386.644999991404,/task/40825/1/asset/Goat.mp3,0
1,1601656731128,02/10/2020 16:38:51,1601656731358,1,02/10/2020 17:38:51,27270,5,task-qgn4,,7052879,5a033c30df3fa800015c3217,2041595,,complete,,5f775758cca3e7277f7f0378,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,20291.26000002725,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601656734919,02/10/2020 16:38:54,1601656735213,1,02/10/2020 17:38:55,27270,5,task-qgn4,,7052879,5a033c30df3fa800015c3217,2041595,,complete,,5f775758cca3e7277f7f0378,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,3848.939999996219,/task/40825/1/asset/Dog.mp3,1
3,1601656738802,02/10/2020 16:38:58,1601656739104,1,02/10/2020 17:38:59,27270,5,task-qgn4,,7052879,5a033c30df3fa800015c3217,2041595,,complete,,5f775758cca3e7277f7f0378,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,3888.435000029858,/task/40825/1/asset/Owl.mp3,0
4,1601656741122,02/10/2020 16:39:01,1601656741428,1,02/10/2020 17:39:01,27270,5,task-qgn4,,7052879,5a033c30df3fa800015c3217,2041595,,complete,,5f775758cca3e7277f7f0378,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,2320.5200000084005,/task/40825/1/asset/Goat.mp3,0
1,1601656898193,02/10/2020 16:41:38,1601656899398,1,02/10/2020 17:41:39,27270,5,task-qgn4,,7052937,5f675cf483a2b83482da2abd,2041608,,complete,,5f7757b7e4de0d26a1dabd91,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,38124.629999976605,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601656900747,02/10/2020 16:41:40,1601656901993,1,02/10/2020 17:41:41,27270,5,task-qgn4,,7052937,5f675cf483a2b83482da2abd,2041608,,complete,,5f7757b7e4de0d26a1dabd91,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,2573.344999924302,/task/40825/1/asset/Dog.mp3,1
3,1601656902646,02/10/2020 16:41:42,1601656903896,1,02/10/2020 17:41:43,27270,5,task-qgn4,,7052937,5f675cf483a2b83482da2abd,2041608,,complete,,5f7757b7e4de0d26a1dabd91,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,1897.8000001516193,/task/40825/1/asset/Owl.mp3,0
4,1601656905261,02/10/2020 16:41:45,1601656906523,1,02/10/2020 17:41:46,27270,5,task-qgn4,,7052937,5f675cf483a2b83482da2abd,2041608,,complete,,5f7757b7e4de0d26a1dabd91,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,2622.040000045672,/task/40825/1/asset/Goat.mp3,0
1,1601656968129,02/10/2020 16:42:48,1601656947289,1,02/10/2020 17:42:27,27270,5,task-qgn4,,7052962,5e2b70a6d5947f1c7697501a,2041614,,complete,,5f7758327e9800275a68ceee,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1600x900,1600x757,,HeadphonesCheck,1,3847.4300000816584,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
