Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,stimulus,button pressed
2,1600099336598,14/09/2020 16:02:16,1600099336211,2,14/09/2020 18:02:16,25911,5,task-qgn4,,6796885,BLIND,1957429,,complete,,5f5f92fc0f813d000af3cf66,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x657,,HeadphonesCheck,1,16909.774999992806,/task/40825/1/asset/Dog.mp3,1
3,1600099344819,14/09/2020 16:02:24,1600099344433,2,14/09/2020 18:02:24,25911,5,task-qgn4,,6796885,BLIND,1957429,,complete,,5f5f92fc0f813d000af3cf66,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x657,,HeadphonesCheck,1,8219.180000000051,/task/40825/1/asset/Owl.mp3,0
4,1600099348068,14/09/2020 16:02:28,1600099347696,2,14/09/2020 18:02:27,25911,5,task-qgn4,,6796885,BLIND,1957429,,complete,,5f5f92fc0f813d000af3cf66,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1366x768,1366x657,,HeadphonesCheck,1,3261.419999995269,/task/40825/1/asset/Goat.mp3,0
1,1600099335017,14/09/2020 16:02:15,1600099334702,2,14/09/2020 18:02:14,25911,5,task-qgn4,,6796894,BLIND,1957430,,complete,,5f5f93a590c437000a2e8e38,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1600x900,1600x757,,HeadphonesCheck,1,4294.405000284314,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099338067,14/09/2020 16:02:18,1600099337807,2,14/09/2020 18:02:17,25911,5,task-qgn4,,6796894,BLIND,1957430,,complete,,5f5f93a590c437000a2e8e38,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1600x900,1600x757,,HeadphonesCheck,1,3068.675000220537,/task/40825/1/asset/Dog.mp3,1
3,1600099347162,14/09/2020 16:02:27,1600099346926,2,14/09/2020 18:02:26,25911,5,task-qgn4,,6796894,BLIND,1957430,,complete,,5f5f93a590c437000a2e8e38,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1600x900,1600x757,,HeadphonesCheck,1,9116.290000267327,/task/40825/1/asset/Owl.mp3,0
4,1600099349709,14/09/2020 16:02:29,1600099349477,2,14/09/2020 18:02:29,25911,5,task-qgn4,,6796894,BLIND,1957430,,complete,,5f5f93a590c437000a2e8e38,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1600x900,1600x757,,HeadphonesCheck,1,2548.7850001081824,/task/40825/1/asset/Goat.mp3,0
1,1600099370134,14/09/2020 16:02:50,1600099370253,2,14/09/2020 18:02:50,25911,5,task-qgn4,,6796907,BLIND,1957432,,complete,,5f5f93a47501bf0009095b54,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.102,1366x768,1367x598,,HeadphonesCheck,1,15588.560000003781,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099372563,14/09/2020 16:02:52,1600099372729,2,14/09/2020 18:02:52,25911,5,task-qgn4,,6796907,BLIND,1957432,,complete,,5f5f93a47501bf0009095b54,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.102,1366x768,1367x598,,HeadphonesCheck,1,2456.9250000058673,/task/40825/1/asset/Dog.mp3,1
3,1600099375412,14/09/2020 16:02:55,1600099375594,2,14/09/2020 18:02:55,25911,5,task-qgn4,,6796907,BLIND,1957432,,complete,,5f5f93a47501bf0009095b54,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.102,1366x768,1367x598,,HeadphonesCheck,1,2859.889999992447,/task/40825/1/asset/Owl.mp3,0
4,1600099378085,14/09/2020 16:02:58,1600099378276,2,14/09/2020 18:02:58,25911,5,task-qgn4,,6796907,BLIND,1957432,,complete,,5f5f93a47501bf0009095b54,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 85.0.4183.102,1366x768,1367x598,,HeadphonesCheck,1,2678.1499999924563,/task/40825/1/asset/Goat.mp3,0
1,1600099374037,14/09/2020 16:02:54,1600099373894,2,14/09/2020 18:02:53,25911,5,task-qgn4,,6796913,BLIND,1957456,,complete,,5f5f93f5e242fa000946dead,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,4056.7550000000665,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099377007,14/09/2020 16:02:57,1600099376912,2,14/09/2020 18:02:56,25911,5,task-qgn4,,6796913,BLIND,1957456,,complete,,5f5f93f5e242fa000946dead,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,3005.749999999807,/task/40825/1/asset/Dog.mp3,1
3,1600099381081,14/09/2020 16:03:01,1600099381006,2,14/09/2020 18:03:01,25911,5,task-qgn4,,6796913,BLIND,1957456,,complete,,5f5f93f5e242fa000946dead,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,4090.560000000096,/task/40825/1/asset/Owl.mp3,0
4,1600099383143,14/09/2020 16:03:03,1600099383059,2,14/09/2020 18:03:03,25911,5,task-qgn4,,6796913,BLIND,1957456,,complete,,5f5f93f5e242fa000946dead,computer,Desktop or Laptop,Windows 7,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,2049.3749999996,/task/40825/1/asset/Goat.mp3,0
1,1600099392872,14/09/2020 16:03:12,1600099392002,2,14/09/2020 18:03:12,25911,5,task-qgn4,,6796918,BLIND,1957458,,complete,,5f5f93fb6ce6c000088ebd77,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1536x864,1536x754,,HeadphonesCheck,1,10873.330000031274,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099397106,14/09/2020 16:03:17,1600099396276,2,14/09/2020 18:03:16,25911,5,task-qgn4,,6796918,BLIND,1957458,,complete,,5f5f93fb6ce6c000088ebd77,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1536x864,1536x754,,HeadphonesCheck,1,4259.164999995846,/task/40825/1/asset/Dog.mp3,1
3,1600099399468,14/09/2020 16:03:19,1600099398656,2,14/09/2020 18:03:18,25911,5,task-qgn4,,6796918,BLIND,1957458,,complete,,5f5f93fb6ce6c000088ebd77,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1536x864,1536x754,,HeadphonesCheck,1,2377.3049999726936,/task/40825/1/asset/Owl.mp3,0
4,1600099401155,14/09/2020 16:03:21,1600099400345,2,14/09/2020 18:03:20,25911,5,task-qgn4,,6796918,BLIND,1957458,,complete,,5f5f93fb6ce6c000088ebd77,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.83,1536x864,1536x754,,HeadphonesCheck,1,1687.2699999948964,/task/40825/1/asset/Goat.mp3,0
1,1600099398921,14/09/2020 16:03:18,1600099398828,2,14/09/2020 18:03:18,25911,5,task-qgn4,,6796920,BLIND,1957445,,complete,,5f5f93d9587fca000a90f907,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,13519.170000000486,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099404561,14/09/2020 16:03:24,1600099404553,2,14/09/2020 18:03:24,25911,5,task-qgn4,,6796920,BLIND,1957445,,complete,,5f5f93d9587fca000a90f907,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,5691.654999999628,/task/40825/1/asset/Dog.mp3,1
3,1600099407095,14/09/2020 16:03:27,1600099407052,2,14/09/2020 18:03:27,25911,5,task-qgn4,,6796920,BLIND,1957445,,complete,,5f5f93d9587fca000a90f907,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,2495.9549999994124,/task/40825/1/asset/Owl.mp3,0
4,1600099408674,14/09/2020 16:03:28,1600099408685,2,14/09/2020 18:03:28,25911,5,task-qgn4,,6796920,BLIND,1957445,,complete,,5f5f93d9587fca000a90f907,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,1630.0699999992503,/task/40825/1/asset/Goat.mp3,0
1,1600099406527,14/09/2020 16:03:26,1600099406695,3,14/09/2020 19:03:26,25911,5,task-qgn4,,6796924,BLIND,1957457,,complete,,5f5f93c02913b3000a310d65,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,9982.224999999744,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099408909,14/09/2020 16:03:28,1600099409120,3,14/09/2020 19:03:29,25911,5,task-qgn4,,6796924,BLIND,1957457,,complete,,5f5f93c02913b3000a310d65,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,2416.450000000623,/task/40825/1/asset/Dog.mp3,1
3,1600099413890,14/09/2020 16:03:33,1600099414087,3,14/09/2020 19:03:34,25911,5,task-qgn4,,6796924,BLIND,1957457,,complete,,5f5f93c02913b3000a310d65,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,4965.374999999767,/task/40825/1/asset/Owl.mp3,0
4,1600099415234,14/09/2020 16:03:35,1600099415447,3,14/09/2020 19:03:35,25911,5,task-qgn4,,6796924,BLIND,1957457,,complete,,5f5f93c02913b3000a310d65,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,1358.4700000028533,/task/40825/1/asset/Goat.mp3,0
1,1600099404911,14/09/2020 16:03:24,1600099405526,2,14/09/2020 18:03:25,25911,5,task-qgn4,,6796928,BLIND,1957439,,complete,,5f5f93c7dc4cd7000abb0335,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,4209.220000018831,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099408159,14/09/2020 16:03:28,1600099408829,2,14/09/2020 18:03:28,25911,5,task-qgn4,,6796928,BLIND,1957439,,complete,,5f5f93c7dc4cd7000abb0335,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,3291.1650000023656,/task/40825/1/asset/Dog.mp3,1
3,1600099412249,14/09/2020 16:03:32,1600099412931,2,14/09/2020 18:03:32,25911,5,task-qgn4,,6796928,BLIND,1957439,,complete,,5f5f93c7dc4cd7000abb0335,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,4098.935000016354,/task/40825/1/asset/Owl.mp3,0
4,1600099414874,14/09/2020 16:03:34,1600099415555,2,14/09/2020 18:03:35,25911,5,task-qgn4,,6796928,BLIND,1957439,,complete,,5f5f93c7dc4cd7000abb0335,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1536x864,1536x722,,HeadphonesCheck,1,2621.594999975059,/task/40825/1/asset/Goat.mp3,0
1,1600099431750,14/09/2020 16:03:51,1600099427396,1,14/09/2020 17:03:47,25911,5,task-qgn4,,6796941,BLIND,1957466,,complete,,5f5f93edad4374000c75276f,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 85.0.4183.102,1680x1050,1680x851,,HeadphonesCheck,1,9239.784999983385,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099438361,14/09/2020 16:03:58,1600099434129,1,14/09/2020 17:03:54,25911,5,task-qgn4,,6796941,BLIND,1957466,,complete,,5f5f93edad4374000c75276f,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 85.0.4183.102,1680x1050,1680x851,,HeadphonesCheck,1,6718.430000008084,/task/40825/1/asset/Dog.mp3,1
3,1600099441947,14/09/2020 16:04:01,1600099437736,1,14/09/2020 17:03:57,25911,5,task-qgn4,,6796941,BLIND,1957466,,complete,,5f5f93edad4374000c75276f,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 85.0.4183.102,1680x1050,1680x851,,HeadphonesCheck,1,3604.399999952875,/task/40825/1/asset/Owl.mp3,0
4,1600099443416,14/09/2020 16:04:03,1600099439179,1,14/09/2020 17:03:59,25911,5,task-qgn4,,6796941,BLIND,1957466,,complete,,5f5f93edad4374000c75276f,computer,Desktop or Laptop,Mac OS 10.15.5,Chrome 85.0.4183.102,1680x1050,1680x851,,HeadphonesCheck,1,1440.8549999352545,/task/40825/1/asset/Goat.mp3,0
1,1600099545705,14/09/2020 16:05:45,1600099545141,3,14/09/2020 19:05:45,25911,5,task-qgn4,,6796948,BLIND,1957441,,complete,,5f5f935f28de5000094af8f6,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,111058.57999999994,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099548908,14/09/2020 16:05:48,1600099548404,3,14/09/2020 19:05:48,25911,5,task-qgn4,,6796948,BLIND,1957441,,complete,,5f5f935f28de5000094af8f6,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,3261.2550000000047,/task/40825/1/asset/Dog.mp3,3
3,1600099564851,14/09/2020 16:06:04,1600099564307,3,14/09/2020 19:06:04,25911,5,task-qgn4,,6796948,BLIND,1957441,,complete,,5f5f935f28de5000094af8f6,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,15901.87500000003,/task/40825/1/asset/Owl.mp3,3
4,1600099571711,14/09/2020 16:06:11,1600099571201,3,14/09/2020 19:06:11,25911,5,task-qgn4,,6796948,BLIND,1957441,,complete,,5f5f935f28de5000094af8f6,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,6892.25999999998,/task/40825/1/asset/Goat.mp3,3
1,1600099459123,14/09/2020 16:04:19,1600099459723,1,14/09/2020 17:04:19,25911,5,task-qgn4,,6796953,BLIND,1957438,,complete,,5f5f93d1286ecf000a36952e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,18858.374999999796,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600099466967,14/09/2020 16:04:26,1600099467614,1,14/09/2020 17:04:27,25911,5,task-qgn4,,6796953,BLIND,1957438,,complete,,5f5f93d1286ecf000a36952e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,7887.950000000274,/task/40825/1/asset/Dog.mp3,1
3,1600099469141,14/09/2020 16:04:29,1600099469790,1,14/09/2020 17:04:29,25911,5,task-qgn4,,6796953,BLIND,1957438,,complete,,5f5f93d1286ecf000a36952e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,2174.030000001949,/task/40825/1/asset/Owl.mp3,0
