Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,stimulus,button pressed
1,1600966699909,24/09/2020 16:58:19,1600966698893,2,24/09/2020 18:58:18,26457,3,task-qgn4,,6933775,5f45bca13b056a1f617a24da,2002775,,complete,,5f6ccfbe6480830e328c4b9f,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x941,,HeadphonesCheck,1,12735.780000104569,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600966705359,24/09/2020 16:58:25,1600966704360,2,24/09/2020 18:58:24,26457,3,task-qgn4,,6933775,5f45bca13b056a1f617a24da,2002775,,complete,,5f6ccfbe6480830e328c4b9f,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x941,,HeadphonesCheck,1,5434.495000052266,/task/40825/1/asset/Dog.mp3,1
3,1600966705437,24/09/2020 16:58:25,1600966704404,2,24/09/2020 18:58:24,26457,3,task-qgn4,,6933775,5f45bca13b056a1f617a24da,2002775,,complete,,5f6ccfbe6480830e328c4b9f,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x941,,HeadphonesCheck,1,41.61499999463558,/task/40825/1/asset/Owl.mp3,1
4,1600966708357,24/09/2020 16:58:28,1600966707367,2,24/09/2020 18:58:27,26457,3,task-qgn4,,6933775,5f45bca13b056a1f617a24da,2002775,,complete,,5f6ccfbe6480830e328c4b9f,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x941,,HeadphonesCheck,1,2961.9650000240654,/task/40825/1/asset/Goat.mp3,0
1,1600966743631,24/09/2020 16:59:03,1600966743540,1,24/09/2020 17:59:03,26457,3,task-qgn4,,6933800,5b94f41ec168f80001104730,2002789,,complete,,5f6ccff6a809f40dab2d29bf,computer,Desktop or Laptop,Mac OS 10.9.5,Chrome 67.0.3396.79,1280x800,1280x632,,HeadphonesCheck,1,19480.999999999767,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600966747143,24/09/2020 16:59:07,1600966747097,1,24/09/2020 17:59:07,26457,3,task-qgn4,,6933800,5b94f41ec168f80001104730,2002789,,complete,,5f6ccff6a809f40dab2d29bf,computer,Desktop or Laptop,Mac OS 10.9.5,Chrome 67.0.3396.79,1280x800,1280x632,,HeadphonesCheck,1,3549.3999999998778,/task/40825/1/asset/Dog.mp3,1
3,1600966749706,24/09/2020 16:59:09,1600966749673,1,24/09/2020 17:59:09,26457,3,task-qgn4,,6933800,5b94f41ec168f80001104730,2002789,,complete,,5f6ccff6a809f40dab2d29bf,computer,Desktop or Laptop,Mac OS 10.9.5,Chrome 67.0.3396.79,1280x800,1280x632,,HeadphonesCheck,1,2567.9999999993015,/task/40825/1/asset/Owl.mp3,0
4,1600966751378,24/09/2020 16:59:11,1600966751341,1,24/09/2020 17:59:11,26457,3,task-qgn4,,6933800,5b94f41ec168f80001104730,2002789,,complete,,5f6ccff6a809f40dab2d29bf,computer,Desktop or Laptop,Mac OS 10.9.5,Chrome 67.0.3396.79,1280x800,1280x632,,HeadphonesCheck,1,1659.8999999996522,/task/40825/1/asset/Goat.mp3,0
1,1600966934953,24/09/2020 17:02:14,1600966934758,1,24/09/2020 18:02:14,26457,3,task-qgn4,,6933907,5ea07ccfcc5aed04bc7e4148,2002817,,complete,,5f6cd0969b7f220de442bcdd,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x758,,HeadphonesCheck,1,7206.714999999804,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600966939623,24/09/2020 17:02:19,1600966939610,1,24/09/2020 18:02:19,26457,3,task-qgn4,,6933907,5ea07ccfcc5aed04bc7e4148,2002817,,complete,,5f6cd0969b7f220de442bcdd,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x758,,HeadphonesCheck,1,4841.065000000071,/task/40825/1/asset/Dog.mp3,1
3,1600966947309,24/09/2020 17:02:27,1600966947299,1,24/09/2020 18:02:27,26457,3,task-qgn4,,6933907,5ea07ccfcc5aed04bc7e4148,2002817,,complete,,5f6cd0969b7f220de442bcdd,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x758,,HeadphonesCheck,1,7685.574999999972,/task/40825/1/asset/Owl.mp3,0
4,1600966952477,24/09/2020 17:02:32,1600966952469,1,24/09/2020 18:02:32,26457,3,task-qgn4,,6933907,5ea07ccfcc5aed04bc7e4148,2002817,,complete,,5f6cd0969b7f220de442bcdd,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x758,,HeadphonesCheck,1,5167.480000000069,/task/40825/1/asset/Goat.mp3,0
