Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,stimulus,button pressed
1,1601395371273,29/09/2020 16:02:51,1601395370995,2,29/09/2020 18:02:50,27043,3,task-qgn4,,7003413,5e5d2201725a3503439aa5df,2023264,,complete,,5f735a4d362bba05900f3d43,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,4343.04499999962,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601395373510,29/09/2020 16:02:53,1601395373266,2,29/09/2020 18:02:53,27043,3,task-qgn4,,7003413,5e5d2201725a3503439aa5df,2023264,,complete,,5f735a4d362bba05900f3d43,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,2267.935000001671,/task/40825/1/asset/Dog.mp3,1
3,1601395375401,29/09/2020 16:02:55,1601395375152,2,29/09/2020 18:02:55,27043,3,task-qgn4,,7003413,5e5d2201725a3503439aa5df,2023264,,complete,,5f735a4d362bba05900f3d43,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,1884.2949999998382,/task/40825/1/asset/Owl.mp3,0
4,1601395378091,29/09/2020 16:02:58,1601395377836,2,29/09/2020 18:02:57,27043,3,task-qgn4,,7003413,5e5d2201725a3503439aa5df,2023264,,complete,,5f735a4d362bba05900f3d43,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,2682.235000000219,/task/40825/1/asset/Goat.mp3,0
1,1601395443500,29/09/2020 16:04:03,1601395443411,1,29/09/2020 17:04:03,27043,3,task-qgn4,,7003439,5f14cff323b6b655cbc821c3,2023270,,complete,,5f735a8cc960860655e9bf3c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1440x900,1440x798,,HeadphonesCheck,1,4402.314999999362,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601395446204,29/09/2020 16:04:06,1601395446131,1,29/09/2020 17:04:06,27043,3,task-qgn4,,7003439,5f14cff323b6b655cbc821c3,2023270,,complete,,5f735a8cc960860655e9bf3c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1440x900,1440x798,,HeadphonesCheck,1,2714.205000003858,/task/40825/1/asset/Dog.mp3,1
3,1601395450047,29/09/2020 16:04:10,1601395449986,1,29/09/2020 17:04:09,27043,3,task-qgn4,,7003439,5f14cff323b6b655cbc821c3,2023270,,complete,,5f735a8cc960860655e9bf3c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1440x900,1440x798,,HeadphonesCheck,1,3849.7349999961443,/task/40825/1/asset/Owl.mp3,0
4,1601395453518,29/09/2020 16:04:13,1601395453461,1,29/09/2020 17:04:13,27043,3,task-qgn4,,7003439,5f14cff323b6b655cbc821c3,2023270,,complete,,5f735a8cc960860655e9bf3c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 85.0.4183.121,1440x900,1440x798,,HeadphonesCheck,1,3469.5800000044983,/task/40825/1/asset/Goat.mp3,0
1,1601395453501,29/09/2020 16:04:13,1601395452540,1,29/09/2020 17:04:12,27043,3,task-qgn4,,7003446,5f589a92ce1c040113809f03,2023276,,complete,,5f735ab419e36f0549dada77,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1280x720,1280x578,,HeadphonesCheck,1,4508.619999978691,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601395456136,29/09/2020 16:04:16,1601395455207,1,29/09/2020 17:04:15,27043,3,task-qgn4,,7003446,5f589a92ce1c040113809f03,2023276,,complete,,5f735ab419e36f0549dada77,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1280x720,1280x578,,HeadphonesCheck,1,2662.1250002644956,/task/40825/1/asset/Dog.mp3,1
3,1601395458393,29/09/2020 16:04:18,1601395457466,1,29/09/2020 17:04:17,27043,3,task-qgn4,,7003446,5f589a92ce1c040113809f03,2023276,,complete,,5f735ab419e36f0549dada77,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1280x720,1280x578,,HeadphonesCheck,1,2254.8949997872114,/task/40825/1/asset/Owl.mp3,0
4,1601395459679,29/09/2020 16:04:19,1601395458762,1,29/09/2020 17:04:18,27043,3,task-qgn4,,7003446,5f589a92ce1c040113809f03,2023276,,complete,,5f735ab419e36f0549dada77,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1280x720,1280x578,,HeadphonesCheck,1,1291.7049997486174,/task/40825/1/asset/Goat.mp3,0
