Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,stimulus,button pressed
1,1601309971300,28/09/2020 16:19:31,1601309972086,2,28/09/2020 18:19:32,26806,3,task-qgn4,,6990346,5eeaa0ffaa6af11cf32ce057,2016666,,complete,,5f720c7c59f4fd0db76335b8,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1440x900,1440x793,,HeadphonesCheck,1,5814.104999997653,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601309975844,28/09/2020 16:19:35,1601309976699,2,28/09/2020 18:19:36,26806,3,task-qgn4,,6990346,5eeaa0ffaa6af11cf32ce057,2016666,,complete,,5f720c7c59f4fd0db76335b8,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1440x900,1440x793,,HeadphonesCheck,1,4600.145000033081,/task/40825/1/asset/Dog.mp3,1
3,1601309978879,28/09/2020 16:19:38,1601309979723,2,28/09/2020 18:19:39,26806,3,task-qgn4,,6990346,5eeaa0ffaa6af11cf32ce057,2016666,,complete,,5f720c7c59f4fd0db76335b8,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1440x900,1440x793,,HeadphonesCheck,1,3020.5149999819696,/task/40825/1/asset/Owl.mp3,0
4,1601309981916,28/09/2020 16:19:41,1601309982773,2,28/09/2020 18:19:42,26806,3,task-qgn4,,6990346,5eeaa0ffaa6af11cf32ce057,2016666,,complete,,5f720c7c59f4fd0db76335b8,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1440x900,1440x793,,HeadphonesCheck,1,3046.875,/task/40825/1/asset/Goat.mp3,0
1,1601309985466,28/09/2020 16:19:45,1601309982617,2,28/09/2020 18:19:42,26806,3,task-qgn4,,6990349,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,HeadphonesCheck,1,8285.429999988992,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601309988052,28/09/2020 16:19:48,1601309985290,2,28/09/2020 18:19:45,26806,3,task-qgn4,,6990349,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,HeadphonesCheck,1,2665.399999998044,/task/40825/1/asset/Dog.mp3,1
3,1601309989742,28/09/2020 16:19:49,1601309986990,2,28/09/2020 18:19:46,26806,3,task-qgn4,,6990349,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,HeadphonesCheck,1,1699.2599999648519,/task/40825/1/asset/Owl.mp3,0
4,1601309991335,28/09/2020 16:19:51,1601309988367,2,28/09/2020 18:19:48,26806,3,task-qgn4,,6990349,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,HeadphonesCheck,1,1375.8099999977276,/task/40825/1/asset/Goat.mp3,0
1,1601310014689,28/09/2020 16:20:14,1601310016553,3,28/09/2020 19:20:16,26806,3,task-qgn4,,6990356,5d14f4afcc9ce80001c2b6be,2016663,,complete,,5f720c85c43bb60d16d5d4c5,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,HeadphonesCheck,1,15843.584999995073,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601310019596,28/09/2020 16:20:19,1601310021498,3,28/09/2020 19:20:21,26806,3,task-qgn4,,6990356,5d14f4afcc9ce80001c2b6be,2016663,,complete,,5f720c85c43bb60d16d5d4c5,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,HeadphonesCheck,1,4934.554999999818,/task/40825/1/asset/Dog.mp3,1
3,1601310022114,28/09/2020 16:20:22,1601310024016,3,28/09/2020 19:20:24,26806,3,task-qgn4,,6990356,5d14f4afcc9ce80001c2b6be,2016663,,complete,,5f720c85c43bb60d16d5d4c5,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,HeadphonesCheck,1,2515.595000004396,/task/40825/1/asset/Owl.mp3,0
4,1601310024085,28/09/2020 16:20:24,1601310025977,3,28/09/2020 19:20:25,26806,3,task-qgn4,,6990356,5d14f4afcc9ce80001c2b6be,2016663,,complete,,5f720c85c43bb60d16d5d4c5,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,HeadphonesCheck,1,1958.9299999934155,/task/40825/1/asset/Goat.mp3,0
1,1601310162114,28/09/2020 16:22:42,1601310163179,3,28/09/2020 19:22:43,26806,3,task-qgn4,,6990396,5c90f5eae2d9fb0011385c58,2016687,,complete,,5f720d1f551f5c0dfbd7cb3d,computer,Desktop or Laptop,Windows 10,Chrome 69.1.0.3064,1920x1080,1858x983,,HeadphonesCheck,1,21243.10000007972,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1601310171293,28/09/2020 16:22:51,1601310172429,3,28/09/2020 19:22:52,26806,3,task-qgn4,,6990396,5c90f5eae2d9fb0011385c58,2016687,,complete,,5f720d1f551f5c0dfbd7cb3d,computer,Desktop or Laptop,Windows 10,Chrome 69.1.0.3064,1920x1080,1858x983,,HeadphonesCheck,1,9247.299999929965,/task/40825/1/asset/Dog.mp3,1
3,1601310177087,28/09/2020 16:22:57,1601310178193,3,28/09/2020 19:22:58,26806,3,task-qgn4,,6990396,5c90f5eae2d9fb0011385c58,2016687,,complete,,5f720d1f551f5c0dfbd7cb3d,computer,Desktop or Laptop,Windows 10,Chrome 69.1.0.3064,1920x1080,1858x983,,HeadphonesCheck,1,5761.500000022352,/task/40825/1/asset/Owl.mp3,0
4,1601310180035,28/09/2020 16:23:00,1601310181168,3,28/09/2020 19:23:01,26806,3,task-qgn4,,6990396,5c90f5eae2d9fb0011385c58,2016687,,complete,,5f720d1f551f5c0dfbd7cb3d,computer,Desktop or Laptop,Windows 10,Chrome 69.1.0.3064,1920x1080,1858x983,,HeadphonesCheck,1,2972.700000042096,/task/40825/1/asset/Goat.mp3,0
1,1601310182687,28/09/2020 16:23:02,1601310183637,1,28/09/2020 17:23:03,26806,3,task-qgn4,,6990406,5d777da883625600019963ac,2016658,,complete,,5f720c812a419a0d8e4d38d5,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x657,,HeadphonesCheck,1,6527.920000022277,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
