Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,key pressed,builtin rt,end_time,start_time,response,
13,1601310126062,28/09/2020 16:22:06,1601310123305,2,28/09/2020 18:22:03,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,1449.079999991227,32,,,,,
14,1601310129307,28/09/2020 16:22:09,1601310126525,2,28/09/2020 18:22:06,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,3217.3900000052527,32,,,,,
15,1601310129416,28/09/2020 16:22:09,1601310126527,2,28/09/2020 18:22:06,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,,,,,,,
16,1601310130913,28/09/2020 16:22:10,1601310128166,2,28/09/2020 18:22:08,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,1638,32,1637.8549999790266,1601310128166,1601310126528,,
17,1601310131038,28/09/2020 16:22:11,1601310128169,2,28/09/2020 18:22:08,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,,,,,,,
18,1601310131038,28/09/2020 16:22:11,1601310128171,2,28/09/2020 18:22:08,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,,,,,,,
19,1601310131038,28/09/2020 16:22:11,1601310128171,2,28/09/2020 18:22:08,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,,,,,,,
20,1601310131038,28/09/2020 16:22:11,1601310128172,2,28/09/2020 18:22:08,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,,,,,,,
21,1601310134123,28/09/2020 16:22:14,1601310131367,2,28/09/2020 18:22:11,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,3092,40,3091.9749999884516,1601310131264,1601310128172,,
22,1601310134216,28/09/2020 16:22:14,1601310131368,2,28/09/2020 18:22:11,26806,3,task-wu2f,,6990378,5c5f046db672de0001fd2b9e,2016669,,complete,,5f720ca3bfe5650da8a65a6d,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x969,,Mood - random payment Post Max Tapping Instructions and Training Max 2.5,2,,,,,,,
