Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,reaction time,stimulus,button pressed
1,1600878572313,23/09/2020 16:29:32,1600878568300,1,23/09/2020 17:29:28,26456,6,task-qgn4,,6913976,5d70d4ce08e8a30017a80880,1996648,,complete,,5f6b77915bb3d307cf09f9d1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x770,,HeadphonesCheck,1,9541.069999919273,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600878576274,23/09/2020 16:29:36,1600878572293,1,23/09/2020 17:29:32,26456,6,task-qgn4,,6913976,5d70d4ce08e8a30017a80880,1996648,,complete,,5f6b77915bb3d307cf09f9d1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x770,,HeadphonesCheck,1,3981.8249999079853,/task/40825/1/asset/Dog.mp3,1
3,1600878579281,23/09/2020 16:29:39,1600878575394,1,23/09/2020 17:29:35,26456,6,task-qgn4,,6913976,5d70d4ce08e8a30017a80880,1996648,,complete,,5f6b77915bb3d307cf09f9d1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x770,,HeadphonesCheck,1,3098.4750000061467,/task/40825/1/asset/Owl.mp3,0
4,1600878581189,23/09/2020 16:29:41,1600878577292,1,23/09/2020 17:29:37,26456,6,task-qgn4,,6913976,5d70d4ce08e8a30017a80880,1996648,,complete,,5f6b77915bb3d307cf09f9d1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1368x912,1368x770,,HeadphonesCheck,1,1895.0000000186265,/task/40825/1/asset/Goat.mp3,0
1,1600878687943,23/09/2020 16:31:27,1600878686695,2,23/09/2020 18:31:26,26456,6,task-qgn4,,6914000,5eaef8702b68455d6e130595,1996655,,complete,,5f6b77f3a0ac5f07a29fa73a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,4824.714999999969,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600878690865,23/09/2020 16:31:30,1600878689747,2,23/09/2020 18:31:29,26456,6,task-qgn4,,6914000,5eaef8702b68455d6e130595,1996655,,complete,,5f6b77f3a0ac5f07a29fa73a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,3029.670000000009,/task/40825/1/asset/Dog.mp3,1
3,1600878694488,23/09/2020 16:31:34,1600878693160,2,23/09/2020 18:31:33,26456,6,task-qgn4,,6914000,5eaef8702b68455d6e130595,1996655,,complete,,5f6b77f3a0ac5f07a29fa73a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,3410.394999999993,/task/40825/1/asset/Owl.mp3,0
4,1600878695932,23/09/2020 16:31:35,1600878694616,2,23/09/2020 18:31:34,26456,6,task-qgn4,,6914000,5eaef8702b68455d6e130595,1996655,,complete,,5f6b77f3a0ac5f07a29fa73a,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1920x969,,HeadphonesCheck,1,1453.520000000026,/task/40825/1/asset/Goat.mp3,0
1,1600878751561,23/09/2020 16:32:31,1600878749423,2,23/09/2020 18:32:29,26456,6,task-qgn4,,6914024,5f4cbd93a1cde58de02e2980,1996657,,complete,,5f6b7823c4d1d8077c886e81,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,5471.330000000307,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600878753414,23/09/2020 16:32:33,1600878751320,2,23/09/2020 18:32:31,26456,6,task-qgn4,,6914024,5f4cbd93a1cde58de02e2980,1996657,,complete,,5f6b7823c4d1d8077c886e81,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,1883.1449999997858,/task/40825/1/asset/Dog.mp3,1
3,1600878754793,23/09/2020 16:32:34,1600878752713,2,23/09/2020 18:32:32,26456,6,task-qgn4,,6914024,5f4cbd93a1cde58de02e2980,1996657,,complete,,5f6b7823c4d1d8077c886e81,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,1389.790000001085,/task/40825/1/asset/Owl.mp3,0
4,1600878755903,23/09/2020 16:32:35,1600878753830,2,23/09/2020 18:32:33,26456,6,task-qgn4,,6914024,5f4cbd93a1cde58de02e2980,1996657,,complete,,5f6b7823c4d1d8077c886e81,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x937,,HeadphonesCheck,1,1115.909999996802,/task/40825/1/asset/Goat.mp3,0
1,1600878703722,23/09/2020 16:31:43,1600878703253,0,23/09/2020 16:31:43,26456,6,task-qgn4,,6914005,5ee103557cbf1a4a7cb5167f,1996658,,complete,,5f6b782616d39c079abd6dc3,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,HeadphonesCheck,1,10150.755000000003,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600878706525,23/09/2020 16:31:46,1600878706101,0,23/09/2020 16:31:46,26456,6,task-qgn4,,6914005,5ee103557cbf1a4a7cb5167f,1996658,,complete,,5f6b782616d39c079abd6dc3,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,HeadphonesCheck,1,2836.995000000001,/task/40825/1/asset/Dog.mp3,1
3,1600878708389,23/09/2020 16:31:48,1600878707955,0,23/09/2020 16:31:47,26456,6,task-qgn4,,6914005,5ee103557cbf1a4a7cb5167f,1996658,,complete,,5f6b782616d39c079abd6dc3,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,HeadphonesCheck,1,1850.734999999986,/task/40825/1/asset/Owl.mp3,0
4,1600878711155,23/09/2020 16:31:51,1600878710739,0,23/09/2020 16:31:50,26456,6,task-qgn4,,6914005,5ee103557cbf1a4a7cb5167f,1996658,,complete,,5f6b782616d39c079abd6dc3,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1536x864,1536x722,,HeadphonesCheck,1,2780.795000000013,/task/40825/1/asset/Goat.mp3,0
1,1600878755043,23/09/2020 16:32:35,1600878754912,2,23/09/2020 18:32:34,26456,6,task-qgn4,,6914021,5f36623f389f370009a0be44,1996660,,complete,,5f6b77ecdff00c0828ee0e9e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1858x1009,,HeadphonesCheck,1,22698.09499999974,"<p style=""color: black; font-size: 28px; font-weight: bold;"">This is a sound check. Please turn on the sound on.</p>",
2,1600878757436,23/09/2020 16:32:37,1600878757251,2,23/09/2020 18:32:37,26456,6,task-qgn4,,6914021,5f36623f389f370009a0be44,1996660,,complete,,5f6b77ecdff00c0828ee0e9e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1858x1009,,HeadphonesCheck,1,2336.5900000208057,/task/40825/1/asset/Dog.mp3,1
3,1600878759083,23/09/2020 16:32:39,1600878759001,2,23/09/2020 18:32:39,26456,6,task-qgn4,,6914021,5f36623f389f370009a0be44,1996660,,complete,,5f6b77ecdff00c0828ee0e9e,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.102,1920x1080,1858x1009,,HeadphonesCheck,1,1748.0150000192225,/task/40825/1/asset/Owl.mp3,0
